,word,furigana,translation,jlpt_level,romaji,num_characters,stroke_count
4637,資源,しげん,resources,N3,shigen,2,26
4638,事件,じけん,"event, affair, incident",N3,jiken,2,14
4639,時刻,じこく,"time, hour",N3,jikoku,2,18
4640,自殺,じさつ,suicide,N3,jisatsu,2,16
4641,事実,じじつ,"fact, truth, reality",N3,jijitsu,2,16
4642,支出,ししゅつ,"expenditure, expenses",N3,shishutsu,2,9
4643,事情,じじょう,"circumstances, situation, reasons",N3,jijou,2,19
4644,詩人,しじん,poet,N3,shijin,2,15
4645,自身,じしん,oneself,N3,jishin,2,13
4646,沈む,しずむ,to sink; to feel depressed,N3,shizumu,2,10
4647,自然,しぜん,"nature, spontaneous",N3,shizen,2,18
4648,思想,しそう,"thought, idea",N3,shisou,2,22
4649,舌,した,tongue,N3,shita,1,6
4650,次第,しだい,order; circumstances; immediate(ly),N3,shidai,2,17
4651,従う,したがう,"to abide (by the rules), to obey",N3,shitagau,2,12
4652,したがって,したがって,"therefore, consequently",N3,shitagatte,5,12
4653,親しい,したしい,"intimate, close (e.g., friend)",N3,shitashii,3,19
4654,質,しつ,"quality, nature (of person)",N3,shitsu,1,15
4655,失業,しつぎょう,unemployment,N3,shitsugyou,2,18
4656,湿気,しっけ,"moisture, humidity, dampness",N3,shikke,2,18
4657,実験,じっけん,lab work; experiment,N3,jikken,2,26
4658,実現,じつげん,"implementation, materialization, realization",N3,jitsugen,2,19
4659,実行,じっこう,"practice, execution (e.g., program), realization",N3,jikkou,2,14
4660,実際,じっさい,in fact; in actuality,N3,jissai,2,22
4661,実施,じっし,"enforcement, carry out, operation",N3,jisshi,2,17
4662,湿度,しつど,humidity,N3,shitsudo,2,21
4663,じっと,じっと,"patiently, quietly",N3,jitto,3,6
4664,実に,じつに,"indeed, truly, surely",N3,jitsuni,2,11
4665,実は,じつは,actually; in fact,N3,jitsuha,2,11
4666,失望,しつぼう,"disappointment, despair",N3,shitsubou,2,16
4667,実力,じつりょく,ability; force,N3,jitsuryoku,2,10
4668,支店,してん,branch store (office),N3,shiten,2,12
4669,指導,しどう,"leadership, guidance, coaching",N3,shidou,2,24
4670,自動,じどう,"automatic, self-motion",N3,jidou,2,17
4671,児童,じどう,"children, juvenile",N3,jidou,2,19
4672,品,しな,"thing, article, goods",N3,shina,1,9
4673,支配,しはい,"rule, control, direction",N3,shihai,2,14
4674,芝居,しばい,"play, drama",N3,shibai,2,14
4675,しばしば,しばしば,"often, again and again, frequently",N3,shibashiba,4,12
4676,芝生,しばふ,lawn,N3,shibafu,2,11
4677,支払,しはらい,payment,N3,shiharai,2,9
4678,支払う,しはらう,to pay,N3,shiharau,3,11
4679,死亡,しぼう,death,N3,shibou,2,9
4680,資本,しほん,"funds, capital",N3,shihon,2,18
4681,姉妹,しまい,sisters,N3,shimai,2,16
4682,しまった (かん),しまった (かん),Damn it!,N3,shimatta (kan),9,13
4683,自慢,じまん,"pride, boast",N3,jiman,2,20
4684,地味,じみ,"quiet, plain, conservative",N3,jimi,2,14
4685,示す,しめす,"to show, to indicate",N3,shimesu,2,7
4686,占める,しめる,to take up; to account for,N3,shimeru,3,8
4687,湿る,しめる,"to be wet, to be damp",N3,shimeru,2,13
4688,下,しも,"under, below, beneath",N3,shimo,1,3
4689,霜,しも,frost,N3,shimo,1,17
4690,借金,しゃっきん,"debt, loan, liabilities",N3,shakkin,2,18
4691,しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))",N3,shaberu,4,8
4692,週,しゅう,week,N3,shuu,1,11
4693,州,しゅう,"state, province",N3,shuu,1,6
4694,銃,じゅう,gun,N3,juu,1,14
4695,周囲,しゅうい,"surroundings, circumference, environs",N3,shuui,2,15
4696,収穫,しゅうかく,"harvest, crop, ingathering",N3,shuukaku,2,22
4697,宗教,しゅうきょう,religion,N3,shuukyou,2,19
4698,重視,じゅうし,"importance, stress",N3,juushi,2,20
4699,就職,しゅうしょく,finding employment,N3,shuushoku,2,30
4700,ジュース,ジュース,"juice, soft drink; deuce",N3,juーsu,4,9
4701,修正,しゅうせい,"amendment, correction",N3,shuusei,2,15
4702,重体,じゅうたい,"seriously ill, critical state",N3,juutai,2,16
4703,渋滞,じゅうたい,"congestion (e.g., traffic), delay",N3,juutai,2,24
4704,重大,じゅうだい,"serious, important",N3,juudai,2,12
4705,住宅,じゅうたく,"resident, housing",N3,juutaku,2,13
4706,集団,しゅうだん,"group, mass",N3,shuudan,2,18
4707,集中,しゅうちゅう,"concentration, focusing the mind",N3,shuuchuu,2,16
4708,収入,しゅうにゅう,"income, revenue",N3,shuunyuu,2,6
4709,住民,じゅうみん,"inhabitants, residents",N3,juumin,2,12
4710,重要,じゅうよう,"important, essential",N3,juuyou,2,18
4711,修理,しゅうり,"repairing, mending",N3,shuuri,2,21
4712,主義,しゅぎ,"doctrine, cause, principle",N3,shugi,2,18
4713,宿泊,しゅくはく,lodging,N3,shukuhaku,2,19
4714,手術,しゅじゅつ,surgical operation,N3,shujutsu,2,15
4715,首相,しゅしょう,Prime Minister,N3,shushou,2,18
4716,手段,しゅだん,"means, way, measure",N3,shudan,2,13
4717,主張,しゅちょう,"claim, insistence, assertion",N3,shuchou,2,16
4718,出場,しゅつじょう,participation,N3,shutsujou,2,17
4719,出身,しゅっしん,come from,N3,shusshin,2,12
4720,出版,しゅっぱん,publication,N3,shuppan,2,13
4721,首都,しゅと,capital city,N3,shuto,2,20
4722,主婦,しゅふ,housewife,N3,shufu,2,16
4723,主要,しゅよう,"chief, main",N3,shuyou,2,14
4724,需要,じゅよう,demand,N3,juyou,2,23
4725,種類,しゅるい,"variety, kind",N3,shurui,2,32
4726,順,じゅん,"order, turn",N3,jun,1,12
4727,瞬間,しゅんかん,"moment, second",N3,shunkan,2,30
4728,順調,じゅんちょう,doing well,N3,junchou,2,27
4729,順番,じゅんばん,"turn (in line), order of things",N3,junban,2,24
4730,使用,しよう,"use (same as 使うこと (つかうこと)), application, employment, utilization",N3,shiyou,2,13
4731,小,しょう,small,N3,shou,1,3
4732,章,しょう,"chapter, section; medal",N3,shou,1,11
4733,賞,しょう,"prize, award",N3,shou,1,15
4734,上,じょう,first volume; superior quality; governmental,N3,jou,1,3
4735,障害,しょうがい,"obstacle, impediment",N3,shougai,2,24
4736,奨学金,しょうがくきん,scholarship,N3,shougakukin,3,29
4737,乗客,じょうきゃく,passenger,N3,joukyaku,2,18
4738,上京,じょうきょう,proceeding to the capital (Tokyo),N3,joukyou,2,11
4739,状況,じょうきょう,"state of affairs, situation",N3,joukyou,2,15
4740,条件,じょうけん,"conditions, terms",N3,jouken,2,13
4741,正午,しょうご,"noon, mid-day",N3,shougo,2,9
4742,正直,しょうじき,"honesty, integrity, frankness",N3,shoujiki,2,13
4743,常識,じょうしき,common sense,N3,joushiki,2,30
4744,少女,しょうじょ,young girl,N3,shoujo,2,7
4745,少々,しょうしょう,a little; short (time) (formal for 少し (すこし)),N3,shoushou,2,4
4746,症状,しょうじょう,"symptoms, condition",N3,shoujou,2,17
4747,生じる,しょうじる,"to occur, to arise, to be generated",N3,shoujiru,3,9
4748,状態,じょうたい,"condition, situation",N3,joutai,2,21
4749,上達,じょうたつ,"improvement, advance",N3,joutatsu,2,15
4750,冗談,じょうだん,a joke,N3,joudan,2,19
4751,上等,じょうとう,"first class, very good",N3,joutou,2,15
4752,衝突,しょうとつ,"collision, conflict",N3,shoutotsu,2,23
4753,商人,しょうにん,"trader, shopkeeper, merchant",N3,shounin,2,13
4754,承認,しょうにん,"recognition, approval",N3,shounin,2,22
4755,少年,しょうねん,"boys, juveniles",N3,shounen,2,10
4756,商売,しょうばい,"trade, business, commerce",N3,shoubai,2,18
4757,消費,しょうひ,"consumption, expenditure",N3,shouhi,2,22
4758,商品,しょうひん,"commodity, merchandise",N3,shouhin,2,20
4759,賞品,しょうひん,"prize, trophy",N3,shouhin,2,24
4760,消防,しょうぼう,"fire fighting, fire department",N3,shoubou,2,17
4761,情報,じょうほう,"information, (military) intelligence",N3,jouhou,2,23
4762,証明,しょうめい,"proof, verification",N3,shoumei,2,20
4763,省略,しょうりゃく,"omission, abbreviation, abridgment",N3,shouryaku,2,20
4764,女王,じょおう,queen,N3,joou,2,7
4765,職,しょく,employment,N3,shoku,1,18
4766,職業,しょくぎょう,"occupation, business",N3,shokugyou,2,31
4767,食卓,しょくたく,dining table,N3,shokutaku,2,17
4768,食品,しょくひん,foodstuff,N3,shokuhin,2,18
4769,植物,しょくぶつ,"plant, vegetation",N3,shokubutsu,2,20
4770,食物,しょくもつ,"food, foodstuff",N3,shokumotsu,2,17
4771,食欲,しょくよく,appetite (for food),N3,shokuyoku,2,20
4772,食料,しょくりょう,food,N3,shokuryou,2,19
4773,食糧,しょくりょう,"provisions, rations",N3,shokuryou,2,27
4774,書斎,しょさい,"study, den",N3,shosai,2,21
4775,女子,じょし,"woman, girl",N3,joshi,2,6
4776,助手,じょしゅ,"helper, assistant",N3,joshu,2,11
4777,徐々に,じょじょに,"slowly, little by little",N3,jojoni,3,13
4778,署名,しょめい,signature,N3,shomei,2,19
4779,書物,しょもつ,books,N3,shomotsu,2,18
4780,女優,じょゆう,actress,N3,joyuu,2,20
4781,処理,しょり,"processing, treatment, disposition",N3,shori,2,16
4782,書類,しょるい,"documents, official papers",N3,shorui,2,28
4783,知らせ,しらせ,notice,N3,shirase,3,13
4784,尻,しり,"buttocks, bottom",N3,shiri,1,5
4785,知合い,しりあい,acquaintance,N3,shiriai,3,16
4786,印,しるし,mark; symbol; evidence,N3,shirushi,1,6
