whole_word,whole_word_furigana,whole_word_romaji,whole_word_translation,jlpt_level,character,kanji_use_count,kanji_stroke_count,kanji_translation,kun_readings,kun_romaji,on_readings,on_romaji,radical_basis,radical_meaning,kana_romaji,kana_stroke_count,char_type
下る,くだる,kudaru,"to descend, to go down, to come down",N2,る,,,,,,,,,,ru,1.0,kana
唇,くちびる,kuchibiru,lip,N2,唇,1.0,10.0,lips,くちびる,kuchibiru,シン,shin,口,mouth,,,kanji
口紅,くちべに,kuchibeni,lipstick,N2,口,22.0,3.0,mouth,くち,kuchi,"コウ, ク","kou, ku",口,mouth,,,kanji
口紅,くちべに,kuchibeni,lipstick,N2,紅,4.0,9.0,"crimson, deep red","べに, くれない, あか.い","beni, kurenai, aka.i","コウ, ク","kou, ku",糸,silk,,,kanji
くっつく,くっつく,kuttsuku,"to adhere to, to keep close to",N2,く,,,,,,,,,,ku,1.0,kana
くっつく,くっつく,kuttsuku,"to adhere to, to keep close to",N2,っ,,,,,,,,,,,,kana
くっつく,くっつく,kuttsuku,"to adhere to, to keep close to",N2,つ,,,,,,,,,,tsu,1.0,kana
くっつく,くっつく,kuttsuku,"to adhere to, to keep close to",N2,く,,,,,,,,,,ku,1.0,kana
くっつける,くっつける,kuttsukeru,to attach,N2,く,,,,,,,,,,ku,1.0,kana
くっつける,くっつける,kuttsukeru,to attach,N2,っ,,,,,,,,,,,,kana
くっつける,くっつける,kuttsukeru,to attach,N2,つ,,,,,,,,,,tsu,1.0,kana
くっつける,くっつける,kuttsukeru,to attach,N2,け,,,,,,,,,,ke,3.0,kana
くっつける,くっつける,kuttsukeru,to attach,N2,る,,,,,,,,,,ru,1.0,kana
くどい,くどい,kudoi,"verbose, importunate, heavy (taste)",N2,く,,,,,,,,,,ku,1.0,kana
くどい,くどい,kudoi,"verbose, importunate, heavy (taste)",N2,ど,,,,,,,,,,do,4.0,kana
くどい,くどい,kudoi,"verbose, importunate, heavy (taste)",N2,い,,,,,,,,,,i,2.0,kana
句読点,くとうてん,kutouten,punctuation marks,N2,句,5.0,5.0,"phrase, clause, sentence, passage, paragraph, counter for haiku",,,ク,ku,口,mouth,,,kanji
句読点,くとうてん,kutouten,punctuation marks,N2,読,8.0,14.0,read,"よ.む, -よ.み","yo.mu, -yo.mi","ドク, トク, トウ","doku, toku, tou",言,speech,,,kanji
句読点,くとうてん,kutouten,punctuation marks,N2,点,27.0,9.0,"spot, point, mark, speck, decimal point","つ.ける, つ.く, た.てる, さ.す, とぼ.す, とも.す, ぼち","tsu.keru, tsu.ku, ta.teru, sa.su, tobo.su, tomo.su, bochi",テン,ten,火,fire,,,kanji
配る,くばる,kubaru,"to distribute, to deliver",N2,配,14.0,10.0,"distribute, spouse, exile, rationing",くば.る,kuba.ru,ハイ,hai,酉,wine,,,kanji
配る,くばる,kubaru,"to distribute, to deliver",N2,る,,,,,,,,,,ru,1.0,kana
工夫,くふう,kufuu,"device, artifice, ingenuity",N2,工,14.0,3.0,"craft, construction, katakana e radical (no. 48)",,,"コウ, ク, グ","kou, ku, gu",工,work,,,kanji
工夫,くふう,kufuu,"device, artifice, ingenuity",N2,夫,7.0,4.0,"husband, man","おっと, それ","otto, sore","フ, フウ, ブ","fu, fuu, bu",大,big,,,kanji
区分,くぶん,kubun,"division, section, classification",N2,区,9.0,4.0,"ward, district",,,"ク, オウ, コウ","ku, ou, kou",匸,hiding,,,kanji
区分,くぶん,kubun,"division, section, classification",N2,分,48.0,4.0,"part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100","わ.ける, わ.け, わ.かれる, わ.かる, わ.かつ","wa.keru, wa.ke, wa.kareru, wa.karu, wa.katsu","ブン, フン, ブ","bun, fun, bu",刀,knife,,,kanji
組合せ,くみあわせ,kumiawase,combination,N2,組,11.0,11.0,"association, braid, plait, construct, assemble, unite, cooperate, grapple","く.む, くみ, -ぐみ","ku.mu, kumi, -gumi",ソ,so,糸,silk,,,kanji
組合せ,くみあわせ,kumiawase,combination,N2,合,55.0,6.0,"fit, suit, join, 0.1","あ.う, -あ.う, あ.い, あい-, -あ.い, -あい, あ.わす, あ.わせる, -あ.わせる","a.u, -a.u, a.i, ai-, -a.i, -ai, a.wasu, a.waseru, -a.waseru","ゴウ, ガッ, カッ","gou, ga, ka",口,mouth,,,kanji
組合せ,くみあわせ,kumiawase,combination,N2,せ,,,,,,,,,,se,3.0,kana
組み立てる,くみたてる,kumitateru,"to assemble, to set up, to construct",N2,組,11.0,11.0,"association, braid, plait, construct, assemble, unite, cooperate, grapple","く.む, くみ, -ぐみ","ku.mu, kumi, -gumi",ソ,so,糸,silk,,,kanji
組み立てる,くみたてる,kumitateru,"to assemble, to set up, to construct",N2,み,,,,,,,,,,mi,2.0,kana
組み立てる,くみたてる,kumitateru,"to assemble, to set up, to construct",N2,立,36.0,5.0,"stand up, rise, set up, erect","た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-, -た.て, -だ.て, -だ.てる","ta.tsu, -ta.tsu, ta.chi-, ta.teru, -ta.teru, ta.te-, tate-, -ta.te, -da.te, -da.teru","リツ, リュウ, リットル","ritsu, ryuu, rittoru",立,stand,,,kanji
組み立てる,くみたてる,kumitateru,"to assemble, to set up, to construct",N2,て,,,,,,,,,,te,1.0,kana
組み立てる,くみたてる,kumitateru,"to assemble, to set up, to construct",N2,る,,,,,,,,,,ru,1.0,kana
悔やむ,くやむ,kuyamu,"to regret, to mourn",N2,悔,3.0,9.0,"repent, regret","く.いる, く.やむ, くや.しい","ku.iru, ku.yamu, kuya.shii",カイ,kai,心,heart,,,kanji
悔やむ,くやむ,kuyamu,"to regret, to mourn",N2,や,,,,,,,,,,ya,3.0,kana
悔やむ,くやむ,kuyamu,"to regret, to mourn",N2,む,,,,,,,,,,mu,3.0,kana
クリーニング,クリーニング,kuriーningu,"cleaning, dry cleaning, laundry service",N2,ク,,,,,,,,,,ku,2.0,kana
クリーニング,クリーニング,kuriーningu,"cleaning, dry cleaning, laundry service",N2,リ,,,,,,,,,,ri,2.0,kana
クリーニング,クリーニング,kuriーningu,"cleaning, dry cleaning, laundry service",N2,ー,,,,,,,,,,,,kana
クリーニング,クリーニング,kuriーningu,"cleaning, dry cleaning, laundry service",N2,ニ,,,,,,,,,,ni,2.0,kana
クリーニング,クリーニング,kuriーningu,"cleaning, dry cleaning, laundry service",N2,ン,,,,,,,,,,n,2.0,kana
クリーニング,クリーニング,kuriーningu,"cleaning, dry cleaning, laundry service",N2,グ,,,,,,,,,,gu,4.0,kana
くるむ,くるむ,kurumu,"to be enveloped by, to wrap up",N2,く,,,,,,,,,,ku,1.0,kana
くるむ,くるむ,kurumu,"to be enveloped by, to wrap up",N2,る,,,,,,,,,,ru,1.0,kana
くるむ,くるむ,kurumu,"to be enveloped by, to wrap up",N2,む,,,,,,,,,,mu,3.0,kana
くれぐれも,くれぐれも,kureguremo,"repeatedly, sincerely, earnestly",N2,く,,,,,,,,,,ku,1.0,kana
くれぐれも,くれぐれも,kureguremo,"repeatedly, sincerely, earnestly",N2,れ,,,,,,,,,,re,2.0,kana
くれぐれも,くれぐれも,kureguremo,"repeatedly, sincerely, earnestly",N2,ぐ,,,,,,,,,,gu,3.0,kana
くれぐれも,くれぐれも,kureguremo,"repeatedly, sincerely, earnestly",N2,れ,,,,,,,,,,re,2.0,kana
くれぐれも,くれぐれも,kureguremo,"repeatedly, sincerely, earnestly",N2,も,,,,,,,,,,mo,3.0,kana
郡,ぐん,gun,"district, county",N2,郡,2.0,10.0,"county, district",こおり,koori,グン,gun,town,town,,,kanji
稽古,けいこ,keiko,"practice, training, study",N2,稽,2.0,15.0,"think, consider","かんが.える, とど.める","kanga.eru, todo.meru",ケイ,kei,禾,grain,,,kanji
稽古,けいこ,keiko,"practice, training, study",N2,古,8.0,5.0,old,"ふる.い, ふる-, -ふる.す","furu.i, furu-, -furu.su",コ,ko,口,mouth,,,kanji
敬語,けいご,keigo,"honorific language (lit., respect language)",N2,敬,5.0,12.0,"awe, respect, honor, revere",うやま.う,uyama.u,"ケイ, キョウ","kei, kyou",攴,rap,,,kanji
敬語,けいご,keigo,"honorific language (lit., respect language)",N2,語,21.0,14.0,"word, speech, language","かた.る, かた.らう","kata.ru, kata.rau",ゴ,go,言,speech,,,kanji
蛍光灯,けいこうとう,keikoutou,fluorescent lamp,N2,蛍,1.0,11.0,"lightning-bug, firefly",ほたる,hotaru,ケイ,kei,虫,insect,,,kanji
蛍光灯,けいこうとう,keikoutou,fluorescent lamp,N2,光,11.0,6.0,"ray, light","ひか.る, ひかり","hika.ru, hikari",コウ,kou,儿,legs,,,kanji
蛍光灯,けいこうとう,keikoutou,fluorescent lamp,N2,灯,5.0,6.0,"lamp, a light, light, counter for lights","ひ, ほ-, ともしび, とも.す, あかり","hi, ho-, tomoshibi, tomo.su, akari",トウ,tou,火,fire,,,kanji
形式,けいしき,keishiki,"form, formality, format",N2,形,14.0,7.0,"shape, form, style","かた, -がた, かたち, なり","kata, -gata, katachi, nari","ケイ, ギョウ","kei, gyou",彡,bristle,,,kanji
形式,けいしき,keishiki,"form, formality, format",N2,式,12.0,6.0,"style, ceremony, rite, function, method, system, form, expression",,,シキ,shiki,弋,shoot,,,kanji
継続,けいぞく,keizoku,continuation,N2,継,6.0,13.0,"inherit, succeed, continue, patch, graft (tree)","つ.ぐ, まま-","tsu.gu, mama-",ケイ,kei,糸,silk,,,kanji
継続,けいぞく,keizoku,continuation,N2,続,14.0,13.0,"continue, series, sequel","つづ.く, つづ.ける, つぐ.ない","tsuzu.ku, tsuzu.keru, tsugu.nai","ゾク, ショク, コウ, キョウ","zoku, shoku, kou, kyou",糸,silk,,,kanji
毛糸,けいと,keito,knitting wool,N2,毛,6.0,4.0,"fur, hair, feather, down",け,ke,モウ,mou,毛,fur,,,kanji
毛糸,けいと,keito,knitting wool,N2,糸,2.0,6.0,thread,いと,ito,シ,shi,糸,silk,,,kanji
経度,けいど,keido,longitude,N2,経,13.0,11.0,"sutra, longitude, pass thru, expire, warp","へ.る, た.つ, たていと, はか.る, のり","he.ru, ta.tsu, tateito, haka.ru, nori","ケイ, キョウ, キン","kei, kyou, kin",糸,silk,,,kanji
経度,けいど,keido,longitude,N2,度,28.0,9.0,"degrees, occurrence, time, counter for occurrences, consider, attitude","たび, -た.い","tabi, -ta.i","ド, ト, タク","do, to, taku",广,house,,,kanji
系統,けいとう,keitou,"system, genealogy",N2,系,3.0,7.0,"lineage, system",,,ケイ,kei,糸,silk,,,kanji
系統,けいとう,keitou,"system, genealogy",N2,統,9.0,12.0,"overall, relationship, ruling, governing",す.べる,su.beru,トウ,tou,糸,silk,,,kanji
芸能,げいのう,geinou,"public entertainment, performing arts",N2,芸,8.0,7.0,"technique, art, craft, performance, acting, trick, stunt","う.える, のり, わざ","u.eru, nori, waza","ゲイ, ウン","gei, un",艸,grass,,,kanji
芸能,げいのう,geinou,"public entertainment, performing arts",N2,能,15.0,10.0,"ability, talent, skill, capacity","よ.く, あた.う","yo.ku, ata.u",ノウ,nou,肉,meat,,,kanji
競馬,けいば,keiba,horse racing,N2,競,3.0,20.0,"emulate, compete with, bid, sell at auction, bout, contest, race","きそ.う, せ.る, くら.べる","kiso.u, se.ru, kura.beru","キョウ, ケイ","kyou, kei",立,stand,,,kanji
競馬,けいば,keiba,horse racing,N2,馬,3.0,10.0,horse,"うま, うま-, ま","uma, uma-, ma",バ,ba,馬,horse,,,kanji
警備,けいび,keibi,"defense, guard, policing, security",N2,警,6.0,19.0,"admonish, commandment",いまし.める,imashi.meru,ケイ,kei,言,speech,,,kanji
警備,けいび,keibi,"defense, guard, policing, security",N2,備,11.0,12.0,"equip, provision, preparation","そな.える, そな.わる, つぶさ.に","sona.eru, sona.waru, tsubusa.ni",ビ,bi,人,man,,,kanji
形容詞,けいようし,keiyoushi,adjective,N2,形,14.0,7.0,"shape, form, style","かた, -がた, かたち, なり","kata, -gata, katachi, nari","ケイ, ギョウ","kei, gyou",彡,bristle,,,kanji
形容詞,けいようし,keiyoushi,adjective,N2,容,11.0,10.0,"contain, form, looks",い.れる,i.reru,ヨウ,you,宀,roof,,,kanji
形容詞,けいようし,keiyoushi,adjective,N2,詞,13.0,12.0,"part of speech, words, poetry",ことば,kotoba,シ,shi,言,speech,,,kanji
形容動詞,けいようどうし,keiyoudoushi,"adjectival noun, quasi-adjective",N2,形,14.0,7.0,"shape, form, style","かた, -がた, かたち, なり","kata, -gata, katachi, nari","ケイ, ギョウ","kei, gyou",彡,bristle,,,kanji
形容動詞,けいようどうし,keiyoudoushi,"adjectival noun, quasi-adjective",N2,容,11.0,10.0,"contain, form, looks",い.れる,i.reru,ヨウ,you,宀,roof,,,kanji
形容動詞,けいようどうし,keiyoudoushi,"adjectival noun, quasi-adjective",N2,動,30.0,11.0,"move, motion, change, confusion, shift, shake","うご.く, うご.かす","ugo.ku, ugo.kasu",ドウ,dou,力,power,,,kanji
形容動詞,けいようどうし,keiyoudoushi,"adjectival noun, quasi-adjective",N2,詞,13.0,12.0,"part of speech, words, poetry",ことば,kotoba,シ,shi,言,speech,,,kanji
外科,げか,geka,surgical department,N2,外,30.0,5.0,outside,"そと, ほか, はず.す, はず.れる, と-","soto, hoka, hazu.su, hazu.reru, to-","ガイ, ゲ","gai, ge",夕,evening,,,kanji
外科,げか,geka,surgical department,N2,科,18.0,9.0,"department, course, section",,,カ,ka,禾,grain,,,kanji
毛皮,けがわ,kegawa,"fur, skin, pelt",N2,毛,6.0,4.0,"fur, hair, feather, down",け,ke,モウ,mou,毛,fur,,,kanji
毛皮,けがわ,kegawa,"fur, skin, pelt",N2,皮,4.0,5.0,"pelt, skin, hide, leather, skin radical (no. 107)",かわ,kawa,ヒ,hi,皮,skin,,,kanji
激増,げきぞう,gekizou,sudden increase,N2,激,6.0,16.0,"violent, get excited, enraged, chafe, incite",はげ.しい,hage.shii,ゲキ,geki,水,water,,,kanji
激増,げきぞう,gekizou,sudden increase,N2,増,10.0,14.0,"increase, add, augment, gain, promote","ま.す, ま.し, ふ.える, ふ.やす","ma.su, ma.shi, fu.eru, fu.yasu",ゾウ,zou,土,earth,,,kanji
下車,げしゃ,gesha,"alighting, getting off",N2,下,48.0,3.0,"below, down, descend, give, low, inferior","した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる","shita, shimo, moto, sa.geru, sa.garu, kuda.ru, kuda.ri, kuda.su, -kuda.su, kuda.saru, o.rosu, o.riru","カ, ゲ","ka, ge",一,one,,,kanji
下車,げしゃ,gesha,"alighting, getting off",N2,車,19.0,7.0,car,くるま,kuruma,シャ,sha,車,cart,,,kanji
下旬,げじゅん,gejun,month (last third of),N2,下,48.0,3.0,"below, down, descend, give, low, inferior","した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる","shita, shimo, moto, sa.geru, sa.garu, kuda.ru, kuda.ri, kuda.su, -kuda.su, kuda.saru, o.rosu, o.riru","カ, ゲ","ka, ge",一,one,,,kanji
下旬,げじゅん,gejun,month (last third of),N2,旬,4.0,6.0,"decameron, ten-day period, season (for specific products)",,,"ジュン, シュン","jun, shun",日,sun,,,kanji
下水,げすい,gesui,"drainage, sewage, ditch, gutter, sewerage",N2,下,48.0,3.0,"below, down, descend, give, low, inferior","した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる","shita, shimo, moto, sa.geru, sa.garu, kuda.ru, kuda.ri, kuda.su, -kuda.su, kuda.saru, o.rosu, o.riru","カ, ゲ","ka, ge",一,one,,,kanji
下水,げすい,gesui,"drainage, sewage, ditch, gutter, sewerage",N2,水,32.0,4.0,water,"みず, みず-","mizu, mizu-",スイ,sui,水,water,,,kanji
削る,けずる,kezuru,"to cut down little by little, to take a percentage",N2,削,3.0,9.0,"plane, sharpen, whittle, pare, shave","けず.る, はつ.る, そ.ぐ","kezu.ru, hatsu.ru, so.gu",サク,saku,刀,knife,,,kanji
削る,けずる,kezuru,"to cut down little by little, to take a percentage",N2,る,,,,,,,,,,ru,1.0,kana
桁,けた,keta,"column, beam, digit",N2,桁,1.0,10.0,"beam, girder, spar, unit or column (accounting)",けた,keta,コウ,kou,木,tree,,,kanji
下駄,げた,geta,"(Japanese footwear), wooden clogs",N2,下,48.0,3.0,"below, down, descend, give, low, inferior","した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる","shita, shimo, moto, sa.geru, sa.garu, kuda.ru, kuda.ri, kuda.su, -kuda.su, kuda.saru, o.rosu, o.riru","カ, ゲ","ka, ge",一,one,,,kanji
下駄,げた,geta,"(Japanese footwear), wooden clogs",N2,駄,4.0,14.0,"burdensome, pack horse, horse load, send by horse, trivial, worthless",,,"ダ, タ","da, ta",馬,horse,,,kanji
血圧,けつあつ,ketsuatsu,blood pressure,N2,血,7.0,6.0,blood,ち,chi,ケツ,ketsu,血,blood,,,kanji
血圧,けつあつ,ketsuatsu,blood pressure,N2,圧,7.0,5.0,"pressure, push, overwhelm, oppress, dominate","お.す, へ.す, おさ.える, お.さえる","o.su, he.su, osa.eru, o.saeru","アツ, エン, オウ","atsu, en, ou",土,earth,,,kanji
月給,げっきゅう,gekkyuu,monthly salary,N2,月,25.0,4.0,"month, moon",つき,tsuki,"ゲツ, ガツ","getsu, gatsu",月,moon,,,kanji
月給,げっきゅう,gekkyuu,monthly salary,N2,給,10.0,12.0,"salary, wage, gift, allow, grant, bestow on","たま.う, たも.う, -たま.え","tama.u, tamo.u, -tama.e",キュウ,kyuu,糸,silk,,,kanji
傑作,けっさく,kessaku,"masterpiece, best work",N2,傑,1.0,13.0,"greatness, excellence",すぐ.れる,sugu.reru,ケツ,ketsu,人,man,,,kanji
傑作,けっさく,kessaku,"masterpiece, best work",N2,作,29.0,7.0,"make, production, prepare, build","つく.る, つく.り, -づく.り","tsuku.ru, tsuku.ri, -zuku.ri","サク, サ","saku, sa",人,man,,,kanji
月末,げつまつ,getsumatsu,end of the month,N2,月,25.0,4.0,"month, moon",つき,tsuki,"ゲツ, ガツ","getsu, gatsu",月,moon,,,kanji
月末,げつまつ,getsumatsu,end of the month,N2,末,9.0,5.0,"end, close, tip, powder, posterity","すえ, うら, うれ","sue, ura, ure","マツ, バツ","matsu, batsu",木,tree,,,kanji
気配,けはい,kehai,"indication, sign, hint",N2,気,68.0,6.0,"spirit, mind, air, atmosphere, mood","いき, き","iki, ki","キ, ケ","ki, ke",气,steam,,,kanji
気配,けはい,kehai,"indication, sign, hint",N2,配,14.0,10.0,"distribute, spouse, exile, rationing",くば.る,kuba.ru,ハイ,hai,酉,wine,,,kanji
下品,げひん,gehin,"vulgar, indecent, coarse",N2,下,48.0,3.0,"below, down, descend, give, low, inferior","した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる","shita, shimo, moto, sa.geru, sa.garu, kuda.ru, kuda.ri, kuda.su, -kuda.su, kuda.saru, o.rosu, o.riru","カ, ゲ","ka, ge",一,one,,,kanji
下品,げひん,gehin,"vulgar, indecent, coarse",N2,品,25.0,9.0,"goods, refinement, dignity, article, counter for meal courses",しな,shina,"ヒン, ホン","hin, hon",口,mouth,,,kanji
下品(な),げひん(な),gehin(na),vulgar,N2,下,48.0,3.0,"below, down, descend, give, low, inferior","した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる","shita, shimo, moto, sa.geru, sa.garu, kuda.ru, kuda.ri, kuda.su, -kuda.su, kuda.saru, o.rosu, o.riru","カ, ゲ","ka, ge",一,one,,,kanji
下品(な),げひん(な),gehin(na),vulgar,N2,品,25.0,9.0,"goods, refinement, dignity, article, counter for meal courses",しな,shina,"ヒン, ホン","hin, hon",口,mouth,,,kanji
下品(な),げひん(な),gehin(na),vulgar,N2,(,,,,,,,,,,,,kana
下品(な),げひん(な),gehin(na),vulgar,N2,な,,,,,,,,,,na,4.0,kana
下品(な),げひん(な),gehin(na),vulgar,N2,),,,,,,,,,,,,kana
煙い,けむい,kemui,smoky,N2,煙,6.0,13.0,smoke,"けむ.る, けむり, けむ.い","kemu.ru, kemuri, kemu.i",エン,en,火,fire,,,kanji
煙い,けむい,kemui,smoky,N2,い,,,,,,,,,,i,2.0,kana
険しい,けわしい,kewashii,"steep, rugged; severe",N2,険,4.0,11.0,"precipitous, inaccessible place, impregnable position, steep place, sharp eyes",けわ.しい,kewa.shii,ケン,ken,dam,mound,,,kanji
険しい,けわしい,kewashii,"steep, rugged; severe",N2,し,,,,,,,,,,shi,1.0,kana
険しい,けわしい,kewashii,"steep, rugged; severe",N2,い,,,,,,,,,,i,2.0,kana
現～,げん～,gen～,"present, incumbent",N2,現,19.0,11.0,"present, existing, actual","あらわ.れる, あらわ.す, うつつ, うつ.つ","arawa.reru, arawa.su, utsutsu, utsu.tsu",ゲン,gen,jade,jade,,,kanji
現～,げん～,gen～,"present, incumbent",N2,～,,,,,,,,,,,,kana
見学,けんがく,kengaku,"tour, study by observation",N2,見,50.0,7.0,"see, hopes, chances, idea, opinion, look at, visible","み.る, み.える, み.せる","mi.ru, mi.eru, mi.seru",ケン,ken,見,see,,,kanji
見学,けんがく,kengaku,"tour, study by observation",N2,学,54.0,8.0,"study, learning, science",まな.ぶ,mana.bu,ガク,gaku,子,child,,,kanji
謙虚,けんきょ,kenkyo,"modesty, humble",N2,謙,2.0,17.0,"self-effacing, humble oneself, condescend, be modest",へりくだ.る,herikuda.ru,ケン,ken,言,speech,,,kanji
謙虚,けんきょ,kenkyo,"modesty, humble",N2,虚,1.0,11.0,"void, emptiness, unpreparedness, crack, fissure, untruth","むな.しい, うつ.ろ","muna.shii, utsu.ro","キョ, コ","kyo, ko",虍,tiger,,,kanji
原稿,げんこう,genkou,"manuscript, copy",N2,原,20.0,10.0,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",はら,hara,ゲン,gen,厂,cliff,,,kanji
原稿,げんこう,genkou,"manuscript, copy",N2,稿,1.0,15.0,"draft, copy, manuscript, straw","わら, したがき","wara, shitagaki",コウ,kou,禾,grain,,,kanji
原産,げんさん,gensan,place of origin,N2,原,20.0,10.0,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",はら,hara,ゲン,gen,厂,cliff,,,kanji
原産,げんさん,gensan,place of origin,N2,産,27.0,11.0,"products, bear, give birth, yield, childbirth, native, property","う.む, う.まれる, うぶ-, む.す","u.mu, u.mareru, ubu-, mu.su",サン,san,生,life,,,kanji
原始,げんし,genshi,"origin, primeval",N2,原,20.0,10.0,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",はら,hara,ゲン,gen,厂,cliff,,,kanji
原始,げんし,genshi,"origin, primeval",N2,始,12.0,8.0,"commence, begin","はじ.める, -はじ.める, はじ.まる","haji.meru, -haji.meru, haji.maru",シ,shi,女,woman,,,kanji
研修,けんしゅう,kenshuu,training,N2,研,4.0,9.0,"polish, study of, sharpen",と.ぐ,to.gu,ケン,ken,石,stone,,,kanji
研修,けんしゅう,kenshuu,training,N2,修,11.0,10.0,"discipline, conduct oneself well, study, master","おさ.める, おさ.まる","osa.meru, osa.maru","シュウ, シュ","shuu, shu",人,man,,,kanji
厳重,げんじゅう,genjuu,"strict, severe, firm",N2,厳,4.0,17.0,"stern, strictness, severity, rigidity","おごそ.か, きび.しい, いか.めしい, いつくし","ogoso.ka, kibi.shii, ika.meshii, itsukushi","ゲン, ゴン","gen, gon",厂,cliff,,,kanji
厳重,げんじゅう,genjuu,"strict, severe, firm",N2,重,26.0,9.0,"heavy, important, esteem, respect, heap up, pile up, nest of boxes, -fold","え, おも.い, おも.り, おも.なう, かさ.ねる, かさ.なる, おも","e, omo.i, omo.ri, omo.nau, kasa.neru, kasa.naru, omo","ジュウ, チョウ","juu, chou",里,village,,,kanji
謙遜,けんそん,kenson,"humble, humility, modesty",N2,謙,2.0,17.0,"self-effacing, humble oneself, condescend, be modest",へりくだ.る,herikuda.ru,ケン,ken,言,speech,,,kanji
謙遜,けんそん,kenson,"humble, humility, modesty",N2,遜,1.0,13.0,"humble, modest","したが.う, へりくだ.る, ゆず.る","shitaga.u, herikuda.ru, yuzu.ru",ソン,son,辵,walk,,,kanji
県庁,けんちょう,kenchou,prefectural office,N2,県,2.0,9.0,prefecture,か.ける,ka.keru,ケン,ken,目,eye,,,kanji
県庁,けんちょう,kenchou,prefectural office,N2,庁,3.0,5.0,government office,やくしょ,yakusho,"チョウ, テイ","chou, tei",广,house,,,kanji
限度,げんど,gendo,"limit, bounds",N2,限,11.0,9.0,"limit, restrict, to best of ability","かぎ.る, かぎ.り, -かぎ.り","kagi.ru, kagi.ri, -kagi.ri",ゲン,gen,dam,mound,,,kanji
限度,げんど,gendo,"limit, bounds",N2,度,28.0,9.0,"degrees, occurrence, time, counter for occurrences, consider, attitude","たび, -た.い","tabi, -ta.i","ド, ト, タク","do, to, taku",广,house,,,kanji
現に,げんに,genni,"actually, really",N2,現,19.0,11.0,"present, existing, actual","あらわ.れる, あらわ.す, うつつ, うつ.つ","arawa.reru, arawa.su, utsutsu, utsu.tsu",ゲン,gen,jade,jade,,,kanji
現に,げんに,genni,"actually, really",N2,に,,,,,,,,,,ni,3.0,kana
顕微鏡,けんびきょう,kenbikyou,microscope,N2,顕,1.0,18.0,"appear, existing","あきらか, あらわ.れる","akiraka, arawa.reru",ケン,ken,頁,leaf,,,kanji
顕微鏡,けんびきょう,kenbikyou,microscope,N2,微,7.0,13.0,"delicate, minuteness, insignificance",かす.か,kasu.ka,ビ,bi,彳,step,,,kanji
顕微鏡,けんびきょう,kenbikyou,microscope,N2,鏡,4.0,19.0,"mirror, speculum, barrel-head, round rice-cake offering",かがみ,kagami,"キョウ, ケイ","kyou, kei",金,metal,,,kanji
懸命,けんめい,kenmei,"eagerness, strenuous",N2,懸,3.0,20.0,"state of suspension, hang, depend, consult, distant, far apart","か.ける, か.かる","ka.keru, ka.karu","ケン, ケ","ken, ke",心,heart,,,kanji
懸命,けんめい,kenmei,"eagerness, strenuous",N2,命,15.0,8.0,"fate, command, decree, destiny, life, appoint",いのち,inochi,"メイ, ミョウ","mei, myou",口,mouth,,,kanji
原理,げんり,genri,"principle, theory, fundamental truth",N2,原,20.0,10.0,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",はら,hara,ゲン,gen,厂,cliff,,,kanji
原理,げんり,genri,"principle, theory, fundamental truth",N2,理,26.0,11.0,"logic, arrangement, reason, justice, truth",ことわり,kotowari,リ,ri,jade,jade,,,kanji
原料,げんりょう,genryou,raw materials,N2,原,20.0,10.0,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",はら,hara,ゲン,gen,厂,cliff,,,kanji
原料,げんりょう,genryou,raw materials,N2,料,16.0,10.0,"fee, materials",,,リョウ,ryou,斗,dipper,,,kanji
碁,ご,go,go (board game),N2,碁,3.0,13.0,Go,,,ゴ,go,石,stone,,,kanji
小～,こ～,ko～,small ~,N2,小,24.0,3.0,"little, small","ちい.さい, こ-, お-, さ-","chii.sai, ko-, o-, sa-",ショウ,shou,小,small,,,kanji
小～,こ～,ko～,small ~,N2,～,,,,,,,,,,,,kana
コース,コース,koーsu,course,N2,コ,,,,,,,,,,ko,2.0,kana
コース,コース,koーsu,course,N2,ー,,,,,,,,,,,,kana
コース,コース,koーsu,course,N2,ス,,,,,,,,,,su,2.0,kana
コーラス,コーラス,koーrasu,chorus,N2,コ,,,,,,,,,,ko,2.0,kana
コーラス,コーラス,koーrasu,chorus,N2,ー,,,,,,,,,,,,kana
