whole_word,whole_word_furigana,whole_word_romaji,whole_word_translation,jlpt_level,character,kanji_use_count,kanji_stroke_count,kanji_translation,kun_readings,kun_romaji,on_readings,on_romaji,radical_basis,radical_meaning,kana_romaji,kana_stroke_count,char_type
合意,ごうい,goui,"agreement, consent, mutual understanding",N1,合,55.0,6.0,"fit, suit, join, 0.1","あ.う, -あ.う, あ.い, あい-, -あ.い, -あい, あ.わす, あ.わせる, -あ.わせる","a.u, -a.u, a.i, ai-, -a.i, -ai, a.wasu, a.waseru, -a.waseru","ゴウ, ガッ, カッ","gou, ga, ka",口,mouth,,,kanji
合意,ごうい,goui,"agreement, consent, mutual understanding",N1,意,27.0,13.0,"idea, mind, heart, taste, thought, desire, care, liking",,,イ,i,心,heart,,,kanji
工学,こうがく,kougaku,engineering,N1,工,14.0,3.0,"craft, construction, katakana e radical (no. 48)",,,"コウ, ク, グ","kou, ku, gu",工,work,,,kanji
工学,こうがく,kougaku,engineering,N1,学,54.0,8.0,"study, learning, science",まな.ぶ,mana.bu,ガク,gaku,子,child,,,kanji
抗議,こうぎ,kougi,"protest, objection",N1,抗,5.0,7.0,"confront, resist, defy, oppose",あらが.う,araga.u,コウ,kou,手,hand,,,kanji
抗議,こうぎ,kougi,"protest, objection",N1,議,22.0,20.0,"deliberation, consultation, debate, consideration",,,ギ,gi,言,speech,,,kanji
合議,ごうぎ,gougi,"consultation, conference",N1,合,55.0,6.0,"fit, suit, join, 0.1","あ.う, -あ.う, あ.い, あい-, -あ.い, -あい, あ.わす, あ.わせる, -あ.わせる","a.u, -a.u, a.i, ai-, -a.i, -ai, a.wasu, a.waseru, -a.waseru","ゴウ, ガッ, カッ","gou, ga, ka",口,mouth,,,kanji
合議,ごうぎ,gougi,"consultation, conference",N1,議,22.0,20.0,"deliberation, consultation, debate, consideration",,,ギ,gi,言,speech,,,kanji
皇居,こうきょ,koukyo,Imperial Palace,N1,皇,2.0,9.0,emperor,,,"コウ, オウ","kou, ou",白,white,,,kanji
皇居,こうきょ,koukyo,Imperial Palace,N1,居,11.0,8.0,"reside, to be, exist, live with","い.る, -い, お.る","i.ru, -i, o.ru","キョ, コ","kyo, ko",尸,corpse,,,kanji
好況,こうきょう,koukyou,"prosperous conditions, healthy economy",N1,好,18.0,6.0,"fond, pleasing, like something","この.む, す.く, よ.い, い.い","kono.mu, su.ku, yo.i, i.i",コウ,kou,女,woman,,,kanji
好況,こうきょう,koukyou,"prosperous conditions, healthy economy",N1,況,3.0,8.0,"condition, situation","まし.て, いわ.んや, おもむき","mashi.te, iwa.nya, omomuki",キョウ,kyou,水,water,,,kanji
鉱業,こうぎょう,kougyou,mining industry,N1,鉱,4.0,13.0,"mineral, ore",あらがね,aragane,コウ,kou,金,metal,,,kanji
