kanji,count,strokes,kun_readings,on_readings
逆,6,9,"['さか', 'さか.さ', 'さか.らう']","['ギャク', 'ゲキ']"
詐,1,12,['いつわ.る'],['サ']
欺,2,12,['あざむ.く'],['ギ']
削,3,9,"['けず.る', 'はつ.る', 'そ.ぐ']",['サク']
減,8,12,"['へ.る', 'へ.らす']",['ゲン']
錯,1,16,,"['サク', 'シャク']"
戦,13,13,"['いくさ', 'たたか.う', 'おのの.く', 'そよ.ぐ', 'わなな.く']",['セン']
叫,2,6,['さけ.ぶ'],['キョウ']
捧,1,11,['ささ.げる'],['ホウ']
指,16,9,"['ゆび', 'さ.す', '-さ.し']",['シ']
図,12,7,"['え', 'はか.る']","['ズ', 'ト']"
出,71,5,"['で.る', '-で', 'だ.す', '-だ.す', 'い.でる', 'い.だす']","['シュツ', 'スイ']"
支,12,4,"['ささ.える', 'つか.える', 'か.う']",['シ']
授,4,11,"['さず.ける', 'さず.かる']",['ジュ']
摩,2,15,"['ま.する', 'さす.る', 'す.る']",['マ']
座,8,10,['すわ.る'],['ザ']
談,7,15,,['ダン']
雑,9,14,"['まじ.える', 'まじ.る']","['ザツ', 'ゾウ']"
貨,7,11,['たから'],['カ']
殺,4,10,"['ころ.す', '-ごろ.し', 'そ.ぐ', 'あや.める']","['サツ', 'サイ', 'セツ']"
人,67,2,"['ひと', '-り', '-と']","['ジン', 'ニン']"
察,5,14,,['サツ']
悟,2,10,['さと.る'],['ゴ']
中,48,4,"['なか', 'うち', 'あた.る']",['チュウ']
標,6,15,"['しるべ', 'しるし']",['ヒョウ']
様,18,14,"['さま', 'さん']","['ヨウ', 'ショウ']"
寒,3,12,['さむ.い'],['カン']
侍,1,8,"['さむらい', 'はべ.る']","['ジ', 'シ']"
障,6,14,['さわ.る'],['ショウ']
酸,5,14,['す.い'],['サン']
岳,1,8,['たけ'],['ガク']
参,8,8,"['まい.る', 'まい-', 'まじわる', 'みつ']","['サン', 'シン']"
院,8,10,,['イン']
休,19,6,"['やす.む', 'やす.まる', 'やす.める']",['キュウ']
残,9,10,"['のこ.る', 'のこ.す', 'そこな.う', 'のこ.り']","['ザン', 'サン']"
金,31,8,"['かね', 'かな-', '-がね']","['キン', 'コン', 'ゴン']"
酷,2,14,['ひど.い'],['コク']
照,8,13,"['て.る', 'て.らす', 'て.れる']",['ショウ']
桟,1,10,['かけはし'],"['サン', 'セン']"
橋,4,16,['はし'],['キョウ']
賛,2,15,"['たす.ける', 'たた.える']",['サン']
美,10,9,['うつく.しい'],"['ビ', 'ミ']"
腹,6,13,['はら'],['フク']
婦,5,11,['よめ'],['フ']
科,18,9,,['カ']
物,58,8,"['もの', 'もの-']","['ブツ', 'モツ']"
脈,3,10,['すじ'],['ミャク']
仕,17,5,['つか.える'],"['シ', 'ジ']"
飼,2,13,['か.う'],['シ']
育,12,8,"['そだ.つ', 'そだ.ち', 'そだ.てる', 'はぐく.む']",['イク']
